KE386932.1	Azospirillum_halopraeferens_DSM_3675_GCA_000429625.1
LN831785.1	Bacillaceae_bacterium_mt8_mt8_GCA_001375675.1
JH791965.1	Bacillus_cereus_BAG4X12_1_GCA_000291415.1
JH791966.1	Bacillus_cereus_BAG4X12_1_GCA_000291415.1
JH804620.1	Bacillus_cereus_BAG4X2_1_GCA_000293505.1
KB976557.1	Bacillus_cereus_BAG5X12_1_GCA_000399325.1
KB976668.1	Bacillus_cereus_HuA2_3_GCA_000399405.1
JH804692.1	Bacillus_cereus_HuB2_9_GCA_000293745.1
CM000729.1	Bacillus_cereus_Rock1_15_GCA_000161175.1
KB976648.1	Bacillus_cereus_VD131_GCA_000399385.1
KB976676.1	Bacillus_cereus_VD146_GCA_000399425.1
LABS01000159.1	Bacillus_cereus_WSBC_10035_GCA_001044895.1
JYPG01000012.1	Bacillus_cytotoxicus_CVUAS_2833_GCA_001050335.1
LN831197.1	Bacillus_niameyensis_SIT3_GCA_001375535.1
LFJO01000002.1	Bacillus_pseudalcaliphilus_DSM_8725_GCA_001038565.1
JH414754.1	Bacillus_smithii_7_3_47FAA_GCA_000238675.1
CP002509.1	Bacillus_thuringiensis_finitimus_YBT_020_GCA_000190515.1
BBZD01000017.1	Bacteroidales_bacterium_6E_6E_GCA_001270045.1
CP006772.1	Bacteroidales_bacterium_CF_CF_GCA_000473305.1
JAGH01000001.1	Bacteroides_14_A_14_A_GCA_000526555.1
GG705213.1	Bacteroides_2_1_16_2_1_16_GCA_000162135.1
GL945047.1	Bacteroides_2_1_56FAA_2_1_56FAA_GCA_000218345.1
GG774765.1	Bacteroides_3_1_19_3_1_19_GCA_000163655.1
GG705227.1	Bacteroides_3_1_33FAA_3_1_33FAA_GCA_000162195.1
KQ235762.1	Bacteroides_9_1_42FAA_9_1_42FAA_GCA_000157075.2
HF986266.1	Bacteroides_CAG_1060_GCA_000432655.1
HF993230.1	Bacteroides_CAG_1076_GCA_000436795.1
HF999696.1	Bacteroides_CAG_144_GCA_000434215.1
FR896487.1	Bacteroides_CAG_462_GCA_000435095.1
FR896554.1	Bacteroides_CAG_462_GCA_000435095.1
FR881235.1	Bacteroides_CAG_530_GCA_000434735.1
HF986486.1	Bacteroides_CAG_598_GCA_000431055.1
FR890647.1	Bacteroides_CAG_770_GCA_000435075.1
JH636017.1	Bacteroides_D2_D2_GCA_000159075.2
JH636027.1	Bacteroides_D2_D2_GCA_000159075.2
JNLA01000028.1	Bacteroides_Ga6A1_Ga6A1_GCA_000702285.1
JNKX01000023.1	Bacteroides_Ga6A2_Ga6A2_GCA_000702225.1
KB905489.1	Bacteroides_HPS0048_HPS0048_GCA_000382465.1
LBCE01000086.1	Bacteroides_UNK_MGS_13_GCA_000980575.1
LBCE01000206.1	Bacteroides_UNK_MGS_13_GCA_000980575.1
LBCE01000207.1	Bacteroides_UNK_MGS_13_GCA_000980575.1
LBCE01000280.1	Bacteroides_UNK_MGS_13_GCA_000980575.1
LBCE01000427.1	Bacteroides_UNK_MGS_13_GCA_000980575.1
LBCE01000500.1	Bacteroides_UNK_MGS_13_GCA_000980575.1
EQ973489.1	Bacteroides_cellulosilyticus_DSM_14838_GCA_000158035.1
KQ971004.1	Bacteroides_cellulosilyticus_KLE1257_GCA_001580105.1
EQ973646.1	Bacteroides_coprophilus_DSM_18228_JCM_13818_GCA_000157915.1
BBIJ01000079.1	Bacteroides_coprophilus_DSM_18228_JCM_13818_GCA_001315785.1
BBIH01000037.1	Bacteroides_coprophilus_JCM_13816_GCA_001315745.1
BBII01000034.1	Bacteroides_coprophilus_JCM_13817_GCA_001315765.1
CM001167.1	Bacteroides_coprosuis_DSM_18011_GCA_000212915.1
DS995537.1	Bacteroides_dorei_DSM_17855_GCA_000156075.1
GL622538.1	Bacteroides_eggerthii_1_2_48FAA_GCA_000185605.1
AKBX01000001.1	Bacteroides_eggerthii_1_2_48FAA_GCA_000273465.1
HF991207.1	Bacteroides_eggerthii_CAG_109_GCA_000436515.1
FR891641.1	Bacteroides_faecis_CAG_32_GCA_000433375.1
AGDG01000039.1	Bacteroides_faecis_MAJ27_GCA_000226135.2
GL882693.1	Bacteroides_fluxus_YIT_12057_GCA_000195635.1
CDQM01000307.1	Bacteroides_fragilis_2d2A_GCA_000944095.1
JVLR01000108.1	Bacteroides_fragilis_320_BFRA_GCA_001054865.1
JVLQ01000142.1	Bacteroides_fragilis_321_BFRA_GCA_001056335.1
JVLP01000149.1	Bacteroides_fragilis_322_BFRA_GCA_001054895.1
JGEH01000054.1	Bacteroides_fragilis_3719_T6_GCA_000598725.1
JNHH01000031.1	Bacteroides_fragilis_3725_D9_ii_GCA_000699685.1
JGCR01000329.1	Bacteroides_fragilis_3774_T13_GCA_000598305.1
JGCS01000260.1	Bacteroides_fragilis_3783N1_2_GCA_000598325.1
JGEU01000053.1	Bacteroides_fragilis_3783N1_6_GCA_000599065.2
JGDR01000081.1	Bacteroides_fragilis_3783N1_8_GCA_000598605.1
JGCT01000292.1	Bacteroides_fragilis_3783N2_1_GCA_000598345.1
JGCU01000412.1	Bacteroides_fragilis_3976T7_GCA_000598165.1
JGCW01000394.1	Bacteroides_fragilis_3986_N_B_19_GCA_000598445.1
JGDA01000278.1	Bacteroides_fragilis_3996_N_B_6_GCA_000598225.1
JGDB01000278.1	Bacteroides_fragilis_3998T_B_3_GCA_000598485.1
JGDC01000399.1	Bacteroides_fragilis_3998_T_B_4_GCA_000598385.1
FQ312004.1	Bacteroides_fragilis_638R_GCA_000210835.1
LN877293.1	Bacteroides_fragilis_BE1_GCA_001286525.1
JH724176.1	Bacteroides_fragilis_CL03T00C08_GCA_000273095.1
JH724181.1	Bacteroides_fragilis_CL03T12C07_GCA_000273115.1
JPGQ01000196.1	Bacteroides_fragilis_DCMOUH0042B_GCA_000724795.1
JGDE01000148.1	Bacteroides_fragilis_DS_208_GCA_000598505.1
JGDF01000148.1	Bacteroides_fragilis_DS_71_GCA_000599085.1
KQ971056.1	Bacteroides_fragilis_KLE1758_GCA_001580095.1
CR626927.1	Bacteroides_fragilis_NCTC_9343_GCA_000025985.1
JHEF01000053.1	Bacteroides_fragilis_S23L17_GCA_000601055.1
JGEL01000056.1	Bacteroides_fragilis_S23L24_GCA_000599305.1
JGDX01000102.1	Bacteroides_fragilis_S23_R14_GCA_000598665.1
JGEM01000086.1	Bacteroides_fragilis_S24L15_GCA_000599005.1
JGEN01000067.1	Bacteroides_fragilis_S24L26_GCA_000598745.1
JGEO01000061.1	Bacteroides_fragilis_S24L34_GCA_000599325.1
JGEV01000038.1	Bacteroides_fragilis_S38L3_GCA_000598765.2
JGER01000049.1	Bacteroides_fragilis_S38L5_GCA_000599365.1
KB894137.1	Bacteroides_gallinarum_DSM_18171_JCM_13658_GCA_000374365.1
BAJK01000031.1	Bacteroides_gallinarum_DSM_18171_JCM_13658_GCA_000613665.1
ATZI01000022.1	Bacteroides_graminisolvens_DSM_19988_JCM_15093_GCA_000428125.1
BAJS01000027.1	Bacteroides_graminisolvens_DSM_19988_JCM_15093_GCA_000613825.1
KE159507.1	Bacteroides_massiliensis_dnLKV3_GCA_000403195.2
JH724315.1	Bacteroides_nordii_CL02T12C05_GCA_000273175.1
JH992945.1	Bacteroides_oleiciplenus_YIT_12058_GCA_000315485.1
JNHF01000172.1	Bacteroides_ovatus_3725_D1_iv_GCA_000699725.1
JNHG01000360.1	Bacteroides_ovatus_3725_D9_iii_GCA_000699665.1
FR894965.1	Bacteroides_pectinophilus_CAG_437_GCA_000434155.1
AQWS01000026.1	Bacteroides_propionicifaciens_DSM_19291_JCM_14649_GCA_000375405.1
BAJO01000021.1	Bacteroides_propionicifaciens_DSM_19291_JCM_14649_GCA_000613745.1
KE386625.1	Bacteroides_pyogenes_DSM_20611_JCM_6294_GCA_000428105.1
BAIR01000021.1	Bacteroides_pyogenes_DSM_20611_JCM_6294_GCA_000511755.1
KE993167.1	Bacteroides_pyogenes_F0041_GCA_000466505.1
BAIU01000048.1	Bacteroides_pyogenes_JCM_10003_GCA_000511775.1
BAIQ01000012.1	Bacteroides_pyogenes_JCM_6292_GCA_000511735.1
BAKJ01000102.1	Bacteroides_rodentium_JCM_16496_GCA_000614125.1
BAMF01000007.1	Bacteroides_sartorii_JCM_16497_GCA_000615645.1
BAKM01000045.1	Bacteroides_sartorii_JCM_17136_DSM_21941_GCA_000614185.1
JNHO01000003.1	Bacteroides_uniformis_3978_T3_i_GCA_000699885.1
JNHN01000174.1	Bacteroides_uniformis_3978_T3_ii_GCA_000699825.1
JH724260.1	Bacteroides_uniformis_CL03T00C23_GCA_000273785.1
JH724268.1	Bacteroides_uniformis_CL03T12C37_GCA_000273275.1
JNHM01000012.1	Bacteroides_vulgatus_3975_RP4_GCA_000699865.1
FR903496.1	Bacteroides_vulgatus_CAG_6_GCA_000438035.1
JH724282.1	Bacteroides_vulgatus_CL09T03C04_GCA_000273295.1
JZQW01000057.1	Bacteroidetes_bacterium_OLB8_GCA_001567405.1
JZQW01000072.1	Bacteroidetes_bacterium_OLB8_GCA_001567405.1
LNBW01000056.1	Bacteroidetes_bacterium_OLB9_GCA_001567255.1
GG774890.1	Bacteroidetes_oral_taxon_274_F0058_GCA_000163695.1
BCAD01000003.1	Bacteroidia_bacterium_UC5_1_2G11_UC5_1_2G11_GCA_001305175.1
JH815207.1	Barnesiella_intestinihominis_YIT_11860_GCA_000296465.1
CP007034.1	Barnesiella_viscericola_DSM_18177_GCA_000512915.1
ATXL01000026.1	Bavariicoccus_seileri_DSM_19936_GCA_000421665.1
CP003537.1	Bdellovibrio_exovorus_JSS_GCA_000348725.1
CP003281.1	Belliella_baltica_DSM_15883_GCA_000265405.1
JH932293.1	Bergeyella_zoohelcum_ATCC_43767_GCA_000301075.1
JH932283.1	Bergeyella_zoohelcum_CCUG_30536_GCA_000301095.1
CP006954.1	Bibersteinia_trehalosi_USDA_ARS_USMARC_188_GCA_000521725.1
